exp,algo,family,n,m,dist,het,inst_seed,run_seed,budget,lb,lb2,maxmin,runtime_s,best,makespan,energy_Wh,evals,gap,gap2,ratio_mm,end_impr_reloc,end_impr_swap,end_tied_crit,wasted,neutral,improving,worse,move_size,gb_impr_per_1k,dup_global_frac,touch_crit_frac,x_frac,x_success,late_improving_frac,last_gb_impr_frac,div_end,purity_end,c_end,c_mean,bsf_005,bsf_010,bsf_015,bsf_020,bsf_025,bsf_030,bsf_035,bsf_040,bsf_045,bsf_050,bsf_055,bsf_060,bsf_065,bsf_070,bsf_075,bsf_080,bsf_085,bsf_090,bsf_095,bsf_100,key
h15_scale,QI-DMO+CXM selected,n1000 m50 uniform high,1000,50,uniform,high,1,0,20000,101.37563564637229,101.37563564637225,101.71343701568541,26.84681534767151,139.99862856516768,139.99862856516768,365.9574120092846,19920,0.38098890993417417,0.3809889099341748,1.3764024958037573,899,10579,1,0.0,0.016792357968828556,0.35671191553544496,0.6264957264957265,277.24615384615385,3.3132530120481927,0.0,0.938763197586727,0.06802413273001508,0.4885439763488544,0.338763197586727,0.9909638554216867,0.060735632183908046,0.9803821803866768,,,316.99572006152425,295.32573097364946,269.73646059513646,269.73646059513646,268.72624948585894,267.41846106822305,249.5456020467885,249.5456020467885,244.36974643664308,219.59059739929705,202.59077553267215,187.6882016305908,177.01281762733902,169.63932458677166,163.91279363553178,160.7723348310881,153.77953840764982,148.1042973071998,144.63208890937346,139.99862856516768,QI-DMO+CXM selected|1000|50|uniform|high|1|0
h15_scale,QI-DMO+CXM selected,n1000 m50 uniform high,1000,50,uniform,high,1,1,20000,101.37563564637229,101.37563564637225,101.71343701568541,27.298826694488525,149.64623352923104,149.64623352923104,383.57259232655497,19920,0.47615580977702215,0.4761558097770228,1.4712533360381266,613,6492,1,0.0,0.027802916038210154,0.35178481649069887,0.620412267471091,272.6270487682252,2.9116465863453813,5.0276520864756156e-05,0.9095022624434389,0.06762192056309703,0.5078066914498142,0.32860734037204625,0.9728915662650602,0.04133793103448276,0.9861854993479071,,,334.17275037068873,328.73793433827245,287.3794619784151,246.81242164208345,244.31405523623133,239.5353360389194,232.91233733535563,223.60718841204877,217.83288808363284,217.7786340604044,205.14882772232326,204.93515656013548,191.31593703855108,184.20053519269976,165.5261556173624,159.35616575176414,154.37831028875956,153.4680421047313,150.991607233116,149.64623352923104,QI-DMO+CXM selected|1000|50|uniform|high|1|1
h15_scale,QI-DMO+CXM selected,n1000 m50 uniform high,1000,50,uniform,high,1,2,20000,101.37563564637229,101.37563564637225,101.71343701568541,27.113314390182495,130.70334871186435,130.70334871186435,348.4176716523485,19920,0.2892974517841314,0.28929745178413196,1.2850155549429358,644,5077,1,0.0,0.023780794369029662,0.35776772247360483,0.6184514831573655,283.9561085972851,3.0120481927710845,0.0,0.9206636500754147,0.06842634489693314,0.4805290227773696,0.3392659627953746,0.9909638554216867,0.041719540229885055,0.9859744902304488,,,343.17071515797744,298.28476275439425,276.4038313898439,253.87148439987624,253.61061766155376,253.61061766155376,235.95117828341125,235.95117828341125,227.7772483321443,203.03471186814855,193.37474154458144,188.81346670205218,171.611150892773,154.91068968413504,143.88497754245435,142.92557466920533,138.5068574889049,136.24314454000364,134.8718708274397,130.70334871186435,QI-DMO+CXM selected|1000|50|uniform|high|1|2
h15_scale,QI-DMO+CXM selected,n1000 m50 uniform high,1000,50,uniform,high,1,3,20000,101.37563564637229,101.37563564637225,101.71343701568541,27.04607653617859,138.97159454268592,138.97159454268592,364.6434387455238,19920,0.370857935011715,0.3708579350117156,1.3663051669491304,1205,16430,1,0.0,0.02227249874308698,0.3489693313222725,0.6287581699346405,265.15912518853696,3.2630522088353415,0.0,0.9217697335344394,0.06691804927099045,0.48534936138241924,0.33293112116641527,1.0,0.040388505747126435,0.9858530082092171,,,346.618085774018,325.12101434244,291.87031753763927,273.1601002788766,258.7052543414492,258.7052543414492,258.7052543414492,258.7052543414492,258.7052543414492,227.3243600035793,216.7959304899013,195.43918479495176,175.41028093465525,166.93201641877138,160.1840845716842,151.52911889468206,150.03699344370474,144.66835407860592,141.09004608420628,138.97159454268592,QI-DMO+CXM selected|1000|50|uniform|high|1|3
h15_scale,QI-DMO+CXM selected,n1000 m50 uniform high,1000,50,uniform,high,1,4,20000,101.37563564637229,101.37563564637225,101.71343701568541,27.125813722610474,146.8260374328749,146.8260374328749,378.2120280469311,19920,0.4483365405968633,0.4483365405968639,1.443526457671788,628,6182,1,0.0,0.014630467571644042,0.3583710407239819,0.626998491704374,267.3042735042735,3.1626506024096384,0.0,0.9400201106083459,0.0673202614379085,0.4839432412247946,0.34580191050779285,0.9954819277108434,0.05918620689655173,0.9788855712056932,,,320.9353313752047,292.41896741373455,280.5747872916721,252.2880522533353,252.2880522533353,252.2880522533353,252.2880522533353,251.4452339382833,247.63851815528886,229.51203773290047,212.88678369617227,212.88678369617227,207.13456348891373,189.44201740971553,179.27448488686323,177.11406741146803,167.40855788997808,158.8720681613723,155.0527597895966,146.8260374328749,QI-DMO+CXM selected|1000|50|uniform|high|1|4
h15_scale,QI-DMO+CXM selected,n1000 m50 uniform high,1000,50,uniform,high,1,5,20000,101.37563564637229,101.37563564637225,101.71343701568541,27.63900589942932,138.388887492123,138.388887492123,361.7251488337507,19920,0.3651099360290444,0.365109936029045,1.360576257695252,1037,12035,1,0.0,0.020613373554550025,0.3581196581196581,0.6212669683257919,279.80754147812974,3.112449799196787,0.0,0.9239819004524887,0.06274509803921569,0.49599358974358976,0.3377576671694319,0.9503012048192772,0.059250574712643674,0.9817816043358273,,,378.09411636466865,296.4159545225795,272.7586438187222,262.50802518740176,249.53787809869323,245.34667970883885,214.73729830323728,214.73729830323728,214.73729830323728,208.9574955147536,208.9574955147536,193.23551899860658,187.66419378214502,180.79063130268523,166.52681634613168,157.59100763025225,150.23342246105236,143.6471877561322,138.388887492123,138.388887492123,QI-DMO+CXM selected|1000|50|uniform|high|1|5
h15_scale,QI-DMO+CXM selected,n1000 m50 uniform high,1000,50,uniform,high,1,6,20000,101.37563564637229,101.37563564637225,101.71343701568541,27.282791137695312,137.461583464723,137.461583464723,360.27802869515284,19920,0.3559627280092131,0.35596272800921364,1.3514594285465429,1057,10190,1,0.0,0.019808949220713926,0.35203619909502265,0.6281548516842634,274.7365510306687,2.9116465863453813,0.0,0.9311211664152841,0.06923076923076923,0.4734931009440813,0.3360482654600302,1.0,0.04451954022988506,0.9857289198776116,,,362.0215715108591,314.0383837865503,289.9474001158164,282.35397909315026,252.20183652379163,251.66945798402622,246.06195486771912,246.06195486771912,228.81837671543428,227.52086712766936,219.05054004296073,185.1868078098822,181.35508373889135,169.2964565162899,159.59147628380163,152.84332700554305,142.50648537270388,142.03359961164554,139.51891098235896,137.461583464723,QI-DMO+CXM selected|1000|50|uniform|high|1|6
h15_scale,QI-DMO+CXM selected,n1000 m50 uniform high,1000,50,uniform,high,1,7,20000,101.37563564637229,101.37563564637225,101.71343701568541,27.029219150543213,130.52905528796197,130.52905528796197,347.21198217526893,19920,0.2875781686172138,0.28757816861721436,1.2833019817021112,1047,9889,1,0.0,0.026143790849673203,0.3526395173453997,0.6212166918049271,265.67883358471596,3.9156626506024095,0.0,0.9081950729009552,0.06505781799899447,0.4775888717156105,0.33373554550025136,1.0,0.039117241379310344,0.9872400656386273,,,374.4572358014315,332.8703508263029,305.4769449352987,286.9863871112646,285.204582960142,258.6602333201886,241.97729813805665,241.97729813805665,224.54045394856072,215.74344039684485,204.13408480934368,194.00714892036714,168.21553235761752,160.85188148271203,144.3664427727024,140.897544995806,137.64477169712137,134.79398352348562,131.71071373093892,130.52905528796197,QI-DMO+CXM selected|1000|50|uniform|high|1|7
h15_scale,QI-DMO+CXM selected,n1000 m50 uniform high,1000,50,uniform,high,1,8,20000,101.37563564637229,101.37563564637225,101.71343701568541,27.282214879989624,122.21737431004533,122.21737431004533,332.154909670866,19920,0.20558922793219359,0.20558922793219409,1.201585335192222,468,4770,1,0.0,0.023127199597787834,0.3538964303670186,0.6229763700351936,251.47797888386123,3.5642570281124497,0.0,0.9149824032176973,0.067420814479638,0.48322147651006714,0.33514328808446453,0.963855421686747,0.047652873563218394,0.982918161693057,,,340.83984842482164,282.94637965250087,277.45904529472114,271.43813036446267,271.43813036446267,258.89289390268146,230.3869991509983,230.3869991509983,221.95092888270787,199.03115375600274,191.70800656116657,181.2153699063108,166.65152489309963,145.6888823365171,136.41801617115738,131.36665993532512,129.8142260909575,126.08994128191132,123.87925447791964,122.21737431004533,QI-DMO+CXM selected|1000|50|uniform|high|1|8
h15_scale,QI-DMO+CXM selected,n1000 m50 uniform high,1000,50,uniform,high,1,9,20000,101.37563564637229,101.37563564637225,101.71343701568541,27.220860958099365,137.29147694409775,137.29147694409775,359.5724931097998,19920,0.35428474572539664,0.35428474572539725,1.349787019024102,1018,10057,1,0.0,0.022423328305681247,0.349270990447461,0.6283056812468577,263.7346907993967,3.3132530120481927,5.0276520864756156e-05,0.918350930115636,0.06636500754147813,0.47878787878787876,0.3362493715434892,0.9909638554216867,0.04819310344827586,0.9823948312284411,,,348.52950516122183,308.6749155097421,288.4512300950972,278.7937114620102,259.4224654750897,256.74307627557994,237.75317830199504,237.75317830199504,222.9736691247403,200.7059266023022,200.7059266023022,177.65795120895092,166.80162884759224,161.87328754057214,152.97478536412675,150.40405523767208,145.7652748141023,141.18700143801195,139.4043026118751,137.29147694409775,QI-DMO+CXM selected|1000|50|uniform|high|1|9
