algo,instance,n,m,seed,budget,best,makespan,energy_Wh,lb,gap,runtime_s,evals,wasted,neutral,improving,move_size,gb_impr_per_1k,div_end,purity_end,move_sizes_early,move_sizes_late,case
Max-Min,n10 m3 uniform high,10,3,0,10000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.0008084774017333984,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Max-Min,n10 m3 uniform high,10,3,1,10000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.001338958740234375,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Max-Min,n10 m3 uniform high,10,3,2,10000,10.365763812210513,10.365763812210513,2.428147120215758,10.18524780805406,0.017723280528698517,0.0013587474822998047,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,17a tiny
Random,n10 m3 uniform high,10,3,0,10000,10.194330042144742,10.194330042144742,2.4038856925833008,10.18524780805406,0.000891704773594253,2.187377691268921,9990,0.0,0.0,0.0,0.0,1.001001001001001,0.652183908045977,,,,17a tiny
Random,n10 m3 uniform high,10,3,1,10000,10.199745499621484,10.199745499621484,2.4046524111421475,10.18524780805406,0.001423400965851812,1.4004204273223877,9990,0.0,0.0,0.0,0.0,0.8008008008008008,0.6641379310344828,,,,17a tiny
Random,n10 m3 uniform high,10,3,2,10000,10.207990756429275,10.207990756429275,2.405819531047534,10.18524780805406,0.002232930293284723,2.5180447101593018,9990,0.0,0.0,0.0,0.0,0.9009009009009009,0.6496551724137931,,,,17a tiny
MRFO,n10 m3 uniform high,10,3,0,10000,10.220315611397877,10.220315611397877,2.407443434673629,10.18524780805406,0.003442999522906821,5.09182333946228,9990,0.3316265060240964,0.0011044176706827308,0.014658634538152611,2.4619477911646586,0.4004004004004004,0.0,,2.9634538152610443,1.960441767068273,17a tiny
MRFO,n10 m3 uniform high,10,3,1,10000,10.251342422671229,10.251342422671229,2.4118094643626264,10.18524780805406,0.006489249536462378,6.019996643066406,9990,0.31154618473895584,0.00030120481927710846,0.01034136546184739,2.7759036144578313,0.2002002002002002,0.0,,2.958433734939759,2.5933734939759034,17a tiny
MRFO,n10 m3 uniform high,10,3,2,10000,10.234599158651505,10.234599158651505,2.4094644654151063,10.18524780805406,0.004845375539947191,5.514967441558838,9990,0.40240963855421685,0.0013052208835341366,0.015160642570281125,2.354618473895582,0.4004004004004004,0.0,,2.8923694779116467,1.816867469879518,17a tiny
QI-MRFO,n10 m3 uniform high,10,3,0,10000,10.201058190289142,10.201058190289142,2.4049030166080856,10.18524780805406,0.0015522825298939337,5.933900594711304,9990,0.25210843373493974,0.00040160642570281126,0.016666666666666666,2.1431726907630524,0.8008008008008008,0.0,0.8211539319803942,2.437550200803213,1.8487951807228915,17a tiny
