A,B,instance,gap A %,gap B %,diff (A-B) pp,CI95 lo,CI95 hi,p,cliffs_delta,A12 (P[A better]),p_holm
QI-MRFO,MRFO,n30 m5 uniform high,1.0550188642785352,6.522493299197825,-5.46747443491929,-6.383797017814591,-4.571177586720672,3.725290298461914e-09,-0.9755555555555555,0.9877777777777778,1.30385160446167e-08
QI-MRFO,MRFO,n50 m10 bimodal high,11.987212753822078,42.147024888116356,-30.159812134294274,-35.51912945990649,-25.251971628371848,1.862645149230957e-09,-0.9666666666666666,0.9833333333333333,1.30385160446167e-08
QI-MRFO,MRFO,n100 m10 uniform high,1.1222325799403834,83.94480598194286,-82.82257340200249,-91.66432745946265,-73.43953706922855,1.862645149230957e-09,-1.0,1.0,1.30385160446167e-08
QI-MRFO,MRFO,n50 m10 uniform none,3.138453366867898,17.702790083544137,-14.564336716676241,-16.073271290161152,-13.128971135851353,1.862645149230957e-09,-1.0,1.0,1.30385160446167e-08
QI-MRFO,MRFO,n200 m20 uniform high,2.7878868938871633,150.00126961824313,-147.21338272435597,-154.2572701179469,-140.50888613915274,1.862645149230957e-09,-1.0,1.0,1.30385160446167e-08
QI-MRFO,MRFO,n100 m10 lognormal low,1.0665242382775613,13.667271178396367,-12.600746940118803,-13.928440680865455,-11.268087878925748,1.862645149230957e-09,-1.0,1.0,1.30385160446167e-08
QI-MRFO,MRFO,n60 m8 bimodal none,8.679479741000904,21.63648909347959,-12.957009352478696,-14.804020854750819,-11.262832145607218,1.862645149230957e-09,-0.991111111111111,0.9955555555555555,1.30385160446167e-08
QI-MRFO,GA,n30 m5 uniform high,1.0550188642785352,0.8683536774994526,0.1866651867790825,-0.030261026819022516,0.39769136289571916,0.15794767439365387,0.20555555555555555,0.3972222222222222,0.6317906975746155
QI-MRFO,GA,n50 m10 bimodal high,11.987212753822078,13.552497888772413,-1.5652851349503378,-5.04452187074537,1.9994379808112246,0.18396909348666668,-0.20444444444444443,0.6022222222222222,0.6317906975746155
QI-MRFO,GA,n100 m10 uniform high,1.1222325799403834,1.4439661966446482,-0.32173361670426526,-0.5401208122311365,-0.08204478561747891,0.0015832837671041489,-0.5466666666666666,0.7733333333333333,0.011082986369729042
QI-MRFO,GA,n50 m10 uniform none,3.138453366867898,3.5497904820712765,-0.4113371152033773,-0.7891565371598007,-0.02861886215506838,0.03841841779649258,-0.23555555555555552,0.6177777777777778,0.19209208898246288
QI-MRFO,GA,n200 m20 uniform high,2.7878868938871633,3.250603474778508,-0.46271658089134377,-0.8420256250227774,-0.04965995917509564,0.026228994131088257,-0.4444444444444444,0.7222222222222222,0.15737396478652954
QI-MRFO,GA,n100 m10 lognormal low,1.0665242382775613,1.068670793188448,-0.0021465549108866198,-0.21431742527609365,0.23019850532226105,0.3492113798856735,-0.1577777777777778,0.5788888888888889,0.698422759771347
QI-MRFO,GA,n60 m8 bimodal none,8.679479741000904,8.043724927273525,0.635754813727378,-0.7148397176280726,2.077919025725571,0.5037314276096576,0.1266666666666667,0.4366666666666667,0.698422759771347
QI-MRFO,P-MRFO (linear twin),n30 m5 uniform high,1.0550188642785352,0.9260821923332817,0.12893667194525318,-0.03371345513132225,0.2937735767606741,0.15188691951334476,0.14444444444444443,0.42777777777777776,0.6075476780533791
QI-MRFO,P-MRFO (linear twin),n50 m10 bimodal high,11.987212753822078,13.27270735566866,-1.2854946018465807,-4.754664005348647,2.17556024573394,0.6142771040617545,-0.1544444444444445,0.5772222222222223,1.0
QI-MRFO,P-MRFO (linear twin),n100 m10 uniform high,1.1222325799403834,1.2539845010323363,-0.13175192109195283,-0.3334624991032453,0.07640641414532835,0.06666470877826214,-0.29555555555555557,0.6477777777777778,0.381338931620121
QI-MRFO,P-MRFO (linear twin),n50 m10 uniform none,3.138453366867898,3.1744198940052226,-0.03596652713732369,-0.46932104255819634,0.36824087183114457,0.9676735773682594,0.0755555555555556,0.4622222222222222,1.0
QI-MRFO,P-MRFO (linear twin),n200 m20 uniform high,2.7878868938871633,2.611990734299763,0.175896159587401,-0.313855917795883,0.6281910566217782,0.308520769700408,0.08666666666666667,0.45666666666666667,0.925562309101224
QI-MRFO,P-MRFO (linear twin),n100 m10 lognormal low,1.0665242382775613,0.9211715625182458,0.1453526757593155,-0.04945120101268497,0.34096236827947285,0.0635564886033535,0.24222222222222217,0.3788888888888889,0.381338931620121
QI-MRFO,P-MRFO (linear twin),n60 m8 bimodal none,8.679479741000904,10.339459355953217,-1.6599796149523125,-3.141269459132752,-0.22167625322983764,0.048258743378447294,-0.33111111111111113,0.6655555555555556,0.3378112036491311
QI-MRFO,Max-Min,n30 m5 uniform high,1.0550188642785352,2.100598974049247,-1.0455801097707111,-1.2066369421715508,-0.8797780226730181,3.725290298461914e-09,-0.9333333333333333,0.9666666666666667,2.2351741790771484e-08
QI-MRFO,Max-Min,n50 m10 bimodal high,11.987212753822078,7.7694162457473,4.217796508074778,1.677146462267901,6.933651239476546,0.013133638267279937,0.4666666666666666,0.26666666666666666,0.013133638267279937
