exp,algo,family,n,m,dist,het,inst_seed,run_seed,budget,lb,lb2,maxmin,runtime_s,best,makespan,energy_Wh,evals,gap,gap2,ratio_mm,end_impr_reloc,end_impr_swap,end_tied_crit,wasted,neutral,improving,worse,move_size,gb_impr_per_1k,dup_global_frac,touch_crit_frac,x_frac,x_success,late_improving_frac,last_gb_impr_frac,div_end,purity_end,bsf_005,bsf_010,bsf_015,bsf_020,bsf_025,bsf_030,bsf_035,bsf_040,bsf_045,bsf_050,bsf_055,bsf_060,bsf_065,bsf_070,bsf_075,bsf_080,bsf_085,bsf_090,bsf_095,bsf_100,key
h7_tune,(1+1)-EA+CXM c=0.25 px=0.5,n100 m10 uniform high,100,10,uniform,high,1,0,20000,47.06057394079924,47.06057394079921,47.44932658387582,0.8286888599395752,47.087724874702644,47.087724874702644,28.68548409438489,20000,0.0005769358856005854,0.0005769358856011897,0.9923792025049296,0,0,1,0.3962698134906745,0.0016000800040002,0.01335066753337667,0.5887794389719486,1.2202110105505275,13.35,0.7347867393369668,0.44107205360268015,0.5066753337666884,0.025757426231126025,0.0,0.225,0.0,,47.767213498540514,47.104759991066764,47.102462505263325,47.09438436384783,47.087724874702644,47.087724874702644,47.087724874702644,47.087724874702644,47.087724874702644,47.087724874702644,47.087724874702644,47.087724874702644,47.087724874702644,47.087724874702644,47.087724874702644,47.087724874702644,47.087724874702644,47.087724874702644,47.087724874702644,47.087724874702644,(1+1)-EA+CXM c=0.25 px=0.5|100|10|uniform|high|1|0
h7_tune,(1+1)-EA+CXM c=0.25 px=0.5,n100 m10 uniform high,100,10,uniform,high,1,1,20000,47.06057394079924,47.06057394079921,47.44932658387582,0.8316936492919922,47.10803248338392,47.10803248338392,28.681923039545815,20000,0.001008456519131849,0.0010084565191324536,0.9928071876870876,0,0,1,0.40187009350467523,0.0009000450022501125,0.008200410020501024,0.5890294514725737,1.207960398019901,8.2,0.7757887894394719,0.4338216910845542,0.4976248812440622,0.016177652733118972,0.0,0.126,0.0,,47.21299870686948,47.11545714061484,47.10803248338392,47.10803248338392,47.10803248338392,47.10803248338392,47.10803248338392,47.10803248338392,47.10803248338392,47.10803248338392,47.10803248338392,47.10803248338392,47.10803248338392,47.10803248338392,47.10803248338392,47.10803248338392,47.10803248338392,47.10803248338392,47.10803248338392,47.10803248338392,(1+1)-EA+CXM c=0.25 px=0.5|100|10|uniform|high|1|1
h7_tune,(1+1)-EA+CXM c=0.25 px=0.5,n100 m10 uniform high,100,10,uniform,high,1,2,20000,47.06057394079924,47.06057394079921,47.44932658387582,0.871497631072998,47.0704076245279,47.0704076245279,28.678888182690503,20000,0.00020895800678155126,0.00020895800678215532,0.9920142394712788,0,0,1,0.40177008850442525,0.00120006000300015,0.01175058752937647,0.5852792639631982,1.1979598979948998,11.75,0.5967798389919496,0.44177208860443024,0.49657482874143705,0.02305910784412446,0.0004,0.726,0.0,,47.533103421775635,47.17473857855472,47.11617249002317,47.08777865458187,47.08717856831148,47.08589430823063,47.07677001357097,47.07677001357097,47.07677001357097,47.07677001357097,47.07420458308483,47.07420458308483,47.072861002789296,47.072861002789296,47.0704076245279,47.0704076245279,47.0704076245279,47.0704076245279,47.0704076245279,47.0704076245279,(1+1)-EA+CXM c=0.25 px=0.5|100|10|uniform|high|1|2
h7_tune,(1+1)-EA+CXM c=0.25 px=0.5,n100 m10 uniform high,100,10,uniform,high,1,3,20000,47.06057394079924,47.06057394079921,47.44932658387582,0.844249963760376,47.071893414784185,47.071893414784185,28.67959879568435,20000,0.00024052987537268765,0.00024052987537329172,0.992045552671344,0,0,1,0.39556977848892444,0.0021001050052502626,0.013000650032501625,0.5893294664733236,1.2127106355317765,13.0,0.7335866793339667,0.44332216610830544,0.5030751537576879,0.02524599940363781,0.0,0.249,0.0,,48.764731028348045,47.17934062632901,47.1025798535525,47.078020976457196,47.071893414784185,47.071893414784185,47.071893414784185,47.071893414784185,47.071893414784185,47.071893414784185,47.071893414784185,47.071893414784185,47.071893414784185,47.071893414784185,47.071893414784185,47.071893414784185,47.071893414784185,47.071893414784185,47.071893414784185,47.071893414784185,(1+1)-EA+CXM c=0.25 px=0.5|100|10|uniform|high|1|3
h7_tune,(1+1)-EA+CXM c=0.25 px=0.5,n100 m10 uniform high,100,10,uniform,high,1,4,20000,47.06057394079924,47.06057394079921,47.44932658387582,0.848639726638794,47.07544875619724,47.07544875619724,28.679491319173533,20000,0.0003160780702911602,0.00031607807029176434,0.9921204818994073,0,0,1,0.3975698784939247,0.0011000550027501375,0.010200510025501276,0.5911295564778238,1.215210760538027,10.2,0.6680334016700835,0.4504725236261813,0.5038251912595629,0.020246129416435093,0.0,0.492,0.0,,47.27665768042895,47.10601895115308,47.09565087649593,47.08837819379142,47.086665015734866,47.08422622172306,47.081791619612645,47.081791619612645,47.081791619612645,47.07544875619724,47.07544875619724,47.07544875619724,47.07544875619724,47.07544875619724,47.07544875619724,47.07544875619724,47.07544875619724,47.07544875619724,47.07544875619724,47.07544875619724,(1+1)-EA+CXM c=0.25 px=0.5|100|10|uniform|high|1|4
h7_tune,(1+1)-EA+CXM c=0.25 px=0.5,n100 m10 uniform high,100,10,uniform,high,1,5,20000,47.06057394079924,47.06057394079921,47.44932658387582,0.8425977230072021,47.07837704363065,47.07837704363065,28.68119004583952,20000,0.0003783018637599051,0.0003783018637605093,0.9921821958929291,0,0,1,0.39616980849042455,0.002050102505125256,0.011550577528876444,0.5902295114755738,1.215760788039402,11.55,0.7050852542627132,0.4383219160958048,0.5001750087504375,0.02249325202439268,0.0,0.294,0.0,,47.284889453774376,47.10266077453569,47.08761913351208,47.08141361961789,47.08141361961789,47.07837704363065,47.07837704363065,47.07837704363065,47.07837704363065,47.07837704363065,47.07837704363065,47.07837704363065,47.07837704363065,47.07837704363065,47.07837704363065,47.07837704363065,47.07837704363065,47.07837704363065,47.07837704363065,47.07837704363065,(1+1)-EA+CXM c=0.25 px=0.5|100|10|uniform|high|1|5
h7_tune,(1+1)-EA+CXM c=0.25 px=0.5,n100 m10 uniform high,100,10,uniform,high,1,6,20000,47.06057394079924,47.06057394079921,47.44932658387582,0.8464229106903076,47.09676805189552,47.09676805189552,28.68301113600114,20000,0.0007690962533057309,0.0007690962533063353,0.9925697885014851,0,0,1,0.3970198509925496,0.0016000800040002,0.010750537526876344,0.5906295314765738,1.1396569828491425,10.75,0.7727386369318466,0.45787289364468226,0.4990749537476874,0.020839595230938784,0.0,0.153,0.0,,47.23880914482046,47.09768888665697,47.09768888665697,47.09676805189552,47.09676805189552,47.09676805189552,47.09676805189552,47.09676805189552,47.09676805189552,47.09676805189552,47.09676805189552,47.09676805189552,47.09676805189552,47.09676805189552,47.09676805189552,47.09676805189552,47.09676805189552,47.09676805189552,47.09676805189552,47.09676805189552,(1+1)-EA+CXM c=0.25 px=0.5|100|10|uniform|high|1|6
h7_tune,(1+1)-EA+CXM c=0.25 px=0.5,n100 m10 uniform high,100,10,uniform,high,1,7,20000,47.06057394079924,47.06057394079921,47.44932658387582,0.8224718570709229,47.086723895736874,47.086723895736874,28.684238559750796,20000,0.0005556658737424784,0.0005556658737430828,0.9923581067584177,0,0,1,0.40287014350717537,0.0016500825041252062,0.010050502525126256,0.5854292714635732,1.2061603080154009,10.05,0.7551377568878443,0.4383719185959298,0.4975748787439372,0.019897497738920713,0.0,0.126,0.0,,47.262522156213244,47.111985601372886,47.086723895736874,47.086723895736874,47.086723895736874,47.086723895736874,47.086723895736874,47.086723895736874,47.086723895736874,47.086723895736874,47.086723895736874,47.086723895736874,47.086723895736874,47.086723895736874,47.086723895736874,47.086723895736874,47.086723895736874,47.086723895736874,47.086723895736874,47.086723895736874,(1+1)-EA+CXM c=0.25 px=0.5|100|10|uniform|high|1|7
h7_tune,(1+1)-EA+CXM c=0.25 px=0.5,n100 m10 uniform high,100,10,uniform,high,1,8,20000,47.06057394079924,47.06057394079921,47.44932658387582,0.8271994590759277,47.095318298070495,47.095318298070495,28.686758564254497,20000,0.0007382901303958837,0.0007382901303964882,0.9925392347733418,0,0,1,0.40042002100105006,0.0012500625031251563,0.01135056752837642,0.5869793489674484,1.2046102305115256,11.35,0.6845842292114606,0.440022001100055,0.5002750137506875,0.02208895552223888,0.0,0.432,0.0,,47.38161954139637,47.15055939132087,47.145709729792166,47.11289452562566,47.10107725636653,47.10018920747141,47.10018920747141,47.10008364773585,47.095318298070495,47.095318298070495,47.095318298070495,47.095318298070495,47.095318298070495,47.095318298070495,47.095318298070495,47.095318298070495,47.095318298070495,47.095318298070495,47.095318298070495,47.095318298070495,(1+1)-EA+CXM c=0.25 px=0.5|100|10|uniform|high|1|8
h7_tune,(1+1)-EA+CXM c=0.25 px=0.5,n100 m10 uniform high,100,10,uniform,high,1,9,20000,47.06057394079924,47.06057394079921,47.44932658387582,0.8360743522644043,47.08091610060668,47.08091610060668,28.682219804889396,20000,0.00043225481765333287,0.00043225481765393704,0.9922357068099185,0,0,1,0.3977198859942997,0.0011500575028751438,0.013150657532876643,0.5879793989699486,1.2124106205310266,13.15,0.6660333016650832,0.44452222611130554,0.49872493624681236,0.025666733507118508,0.0,0.459,0.0,,48.32107346794259,47.34438864969078,47.154987397865156,47.09489000966911,47.09053056135185,47.08527209489514,47.08223495411548,47.08223495411548,47.08223495411548,47.08091610060668,47.08091610060668,47.08091610060668,47.08091610060668,47.08091610060668,47.08091610060668,47.08091610060668,47.08091610060668,47.08091610060668,47.08091610060668,47.08091610060668,(1+1)-EA+CXM c=0.25 px=0.5|100|10|uniform|high|1|9
h7_tune,(1+1)-EA+CXM c=0.25 px=1.0,n100 m10 uniform high,100,10,uniform,high,1,0,20000,47.06057394079924,47.06057394079921,47.44932658387582,1.0588281154632568,47.081738508937256,47.081738508937256,28.680974751510057,20000,0.0004497303446541773,0.0004497303446547815,0.9922530391598122,0,0,1,0.0,5.000250012500625e-05,0.0144007200360018,0.9855492774638732,2.192059602980149,14.4,0.5697284864243212,0.8616930846542327,1.0,0.0144007200360018,0.0,0.42,0.0,,47.135837628137345,47.09246607767808,47.08419577199878,47.08419577199878,47.08399048841856,47.08399048841856,47.081784873651635,47.081784873651635,47.081738508937256,47.081738508937256,47.081738508937256,47.081738508937256,47.081738508937256,47.081738508937256,47.081738508937256,47.081738508937256,47.081738508937256,47.081738508937256,47.081738508937256,47.081738508937256,(1+1)-EA+CXM c=0.25 px=1.0|100|10|uniform|high|1|0
