exp,algo,family,n,m,dist,het,inst_seed,run_seed,budget,lb,lb2,maxmin,runtime_s,best,makespan,energy_Wh,evals,gap,gap2,ratio_mm,end_impr_reloc,end_impr_swap,end_tied_crit,wasted,neutral,improving,worse,move_size,gb_impr_per_1k,dup_global_frac,touch_crit_frac,x_frac,x_success,late_improving_frac,last_gb_impr_frac,div_end,purity_end,c_end,c_mean,bsf_005,bsf_010,bsf_015,bsf_020,bsf_025,bsf_030,bsf_035,bsf_040,bsf_045,bsf_050,bsf_055,bsf_060,bsf_065,bsf_070,bsf_075,bsf_080,bsf_085,bsf_090,bsf_095,bsf_100,key
h15_tune,QI-DMO,n100 m10 uniform high,100,10,uniform,high,1,0,20000,47.06057394079924,47.06057394079921,47.44932658387582,2.585252046585083,48.987846472576244,48.987846472576244,29.27205836354826,19923,0.040953018001893826,0.04095301800189446,1.0324244831163365,24,200,1,0.0007038712921065862,0.02538964303670186,0.3446958270487682,0.6292106586224233,20.799296128707894,1.355217587712694,0.002161890397184515,0.8989944695827049,0.0,0.0,0.3239819004524887,0.7921999698840536,0.15724137931034482,0.9311426726552707,,,69.12816287676263,60.36345408169089,54.09659862176645,51.3792720805387,51.3792720805387,51.25448082013022,51.25448082013022,50.0915377004834,50.0915377004834,50.0915377004834,50.0915377004834,49.34260935277149,49.34260935277149,49.34260935277149,49.34260935277149,48.987846472576244,48.987846472576244,48.987846472576244,48.987846472576244,48.987846472576244,QI-DMO|100|10|uniform|high|1|0
h15_tune,QI-DMO,n100 m10 uniform high,100,10,uniform,high,1,1,20000,47.06057394079924,47.06057394079921,47.44932658387582,2.771834373474121,48.92001152082432,48.92001152082432,29.256319992943816,19923,0.03951157889328328,0.039511578893283904,1.0309948537277716,25,328,1,0.0008547008547008547,0.02277526395173454,0.34132730015082957,0.635042735042735,22.648768225238815,1.5559905636701301,0.0029160382101558573,0.9044746103569633,0.0,0.0,0.32277526395173456,0.8283391055563921,0.1309655172413793,0.9365711940998855,,,73.34215860086779,60.16923916177807,53.877775401409394,53.796242295841665,51.62129252547779,50.740979718024114,50.740979718024114,50.42105557920708,50.42105557920708,50.42105557920708,50.42105557920708,49.683293588353514,49.683293588353514,49.683293588353514,49.683293588353514,49.683293588353514,48.92001152082432,48.92001152082432,48.92001152082432,48.92001152082432,QI-DMO|100|10|uniform|high|1|1
h15_tune,QI-DMO,n100 m10 uniform high,100,10,uniform,high,1,2,20000,47.06057394079924,47.06057394079921,47.44932658387582,2.680870294570923,49.23258205488615,49.23258205488615,29.17078437491096,19923,0.046153455689240716,0.04615345568924135,1.037582313583694,45,342,1,0.00040221216691804925,0.022423328305681247,0.34776269482151834,0.6294117647058823,23.78044243338361,1.1042513677658987,0.0009049773755656109,0.9077928607340372,0.0,0.0,0.3281045751633987,0.927721728655323,0.18172413793103448,0.9298328915808952,,,73.97871545918383,55.942975142064654,53.912711686684275,52.039075101534706,52.039075101534706,49.908317512256744,49.908317512256744,49.908317512256744,49.908317512256744,49.908317512256744,49.908317512256744,49.908317512256744,49.908317512256744,49.908317512256744,49.49296724466183,49.49296724466183,49.49296724466183,49.49296724466183,49.23258205488615,49.23258205488615,QI-DMO|100|10|uniform|high|1|2
h15_tune,QI-DMO,n100 m10 uniform high,100,10,uniform,high,1,3,20000,47.06057394079924,47.06057394079921,47.44932658387582,2.702443838119507,48.83635705212775,48.83635705212775,29.110085738501486,19923,0.0377339875531989,0.037733987553199524,1.029231826205164,25,206,1,0.0012066365007541479,0.0306184012066365,0.3442433383609854,0.6239316239316239,22.513122171945703,1.5559905636701301,0.004474610356963298,0.8940673705379588,0.0,0.0,0.3207642031171443,0.8825478090648998,0.13595402298850576,0.9391456218897437,,,73.78932201109723,56.47584217360267,55.77814397987493,51.59776068426898,51.59776068426898,51.59776068426898,51.59776068426898,51.59776068426898,50.490756669467416,50.490756669467416,49.77285582217891,49.77285582217891,49.77285582217891,49.77285582217891,49.6327448958235,49.440306844587376,48.9822045503083,48.83635705212775,48.83635705212775,48.83635705212775,QI-DMO|100|10|uniform|high|1|3
h15_tune,QI-DMO,n100 m10 uniform high,100,10,uniform,high,1,4,20000,47.06057394079924,47.06057394079921,47.44932658387582,2.6418111324310303,48.43634257767748,48.43634257767748,29.065331470761567,19923,0.0292339961388681,0.02923399613886872,1.020801475276091,7,141,1,0.0018099547511312218,0.025992961287078935,0.34167923579688286,0.630517848164907,21.62126696832579,1.455604075691412,0.006988436400201106,0.8930618401206637,0.0,0.0,0.3215686274509804,0.8870652010239422,0.10675862068965516,0.9567519310852712,,,69.18401698825856,57.08853128551539,53.63709258062132,50.65803595534161,50.65803595534161,50.65803595534161,50.65803595534161,50.65803595534161,50.65803595534161,50.65803595534161,50.65803595534161,50.65803595534161,50.65803595534161,50.65803595534161,49.19039090930722,49.19039090930722,49.19039090930722,48.43634257767748,48.43634257767748,48.43634257767748,QI-DMO|100|10|uniform|high|1|4
h15_tune,QI-DMO,n100 m10 uniform high,100,10,uniform,high,1,5,20000,47.06057394079924,47.06057394079921,47.44932658387582,2.5671424865722656,48.62388066039133,48.62388066039133,29.032440901953617,19923,0.03321903216817295,0.033219032168173575,1.0247538618791407,8,184,1,0.0015082956259426848,0.031724484665661135,0.34399195575666164,0.6227752639517345,21.60517848164907,1.355217587712694,0.005379587732528909,0.8808446455505279,0.0,0.0,0.31744595274007037,0.9051347688601115,0.13917241379310347,0.9368289736409043,,,79.1144128281807,62.283754157494506,54.2368298191801,54.2368298191801,49.97874364317721,49.97874364317721,49.97874364317721,49.97874364317721,49.97874364317721,49.97874364317721,49.97874364317721,49.97874364317721,49.97874364317721,49.29696704444971,49.29696704444971,48.94282525300819,48.94282525300819,48.62481124237311,48.62388066039133,48.62388066039133,QI-DMO|100|10|uniform|high|1|5
h15_tune,QI-DMO,n100 m10 uniform high,100,10,uniform,high,1,6,20000,47.06057394079924,47.06057394079921,47.44932658387582,2.613898277282715,49.21009899836904,49.21009899836904,29.24358734035939,19923,0.04567570850865186,0.04567570850865249,1.0371084805888806,24,357,1,0.0032679738562091504,0.03408748114630467,0.3394670688788336,0.6231774761186526,21.429462041226746,1.9575365155850022,0.014881850175967822,0.869482151835093,0.0,0.0,0.30960281548516844,0.8283391055563921,0.07673563218390805,0.9598483972764614,,,75.53749351557396,71.49075252020347,62.15498853229969,52.73361773431803,52.73361773431803,51.94025234886055,51.55025172216712,51.07999192498815,51.07999192498815,50.61451772587389,50.61451772587389,49.72002932072444,49.72002932072444,49.72002932072444,49.4453056755012,49.335989713776,49.21009899836904,49.21009899836904,49.21009899836904,49.21009899836904,QI-DMO|100|10|uniform|high|1|6
h15_tune,QI-DMO,n100 m10 uniform high,100,10,uniform,high,1,7,20000,47.06057394079924,47.06057394079921,47.44932658387582,2.439584493637085,48.79933239352503,48.79933239352503,28.940561676358104,19923,0.0369472428218384,0.036947242821839026,1.028451527278534,26,255,1,0.002011060834590246,0.026897938662644547,0.3421820010055304,0.6289089994972348,22.091704374057315,1.3050243437233349,0.006837606837606838,0.8903971845148315,0.0,0.0,0.3170437405731523,0.9728956482457461,0.10551724137931034,0.9569956676361642,,,63.33449177441378,54.42367557064771,54.42367557064771,51.968640180706025,51.05006730859676,51.05006730859676,51.05006730859676,51.05006730859676,50.51821121415532,50.51821121415532,50.51821121415532,49.81975280773333,49.81975280773333,49.668789143858106,49.668789143858106,48.864172138579974,48.864172138579974,48.864172138579974,48.864172138579974,48.79933239352503,QI-DMO|100|10|uniform|high|1|7
h15_tune,QI-DMO,n100 m10 uniform high,100,10,uniform,high,1,8,20000,47.06057394079924,47.06057394079921,47.44932658387582,2.631892442703247,48.67044476565331,48.67044476565331,29.191847992562952,19923,0.034208482601152265,0.03420848260115289,1.0257352057382505,6,301,1,0.000955253896430367,0.03036701860231272,0.3426344896933132,0.6260432378079437,20.396178984414277,1.3050243437233349,0.002564102564102564,0.8829059829059829,0.0,0.0,0.31744595274007037,0.6294232796265623,0.14482758620689654,0.9332544548137645,,,68.99801177264703,59.231502124488344,54.326357913060114,53.04900259702722,51.68804956277151,51.68804956277151,51.68804956277151,51.3422693908817,50.61801356001463,50.59196542033113,50.409063984637,50.267143888102396,48.67044476565331,48.67044476565331,48.67044476565331,48.67044476565331,48.67044476565331,48.67044476565331,48.67044476565331,48.67044476565331,QI-DMO|100|10|uniform|high|1|8
h15_tune,QI-DMO,n100 m10 uniform high,100,10,uniform,high,1,9,20000,47.06057394079924,47.06057394079921,47.44932658387582,2.4905502796173096,48.87903363519579,48.87903363519579,29.24139409034867,19923,0.0386408312122185,0.038640831212219125,1.0301312400881535,3,169,1,0.0015082956259426848,0.03092006033182504,0.3400201106083459,0.6275515334338864,20.78255404725993,1.1544446117552578,0.00432378079436903,0.87938662644545,0.0,0.0,0.31473102061337355,0.914169552778196,0.11455172413793104,0.9492137276282289,,,64.84374880385046,55.479226147232005,53.06001779326721,51.305834256946234,51.305834256946234,51.305834256946234,51.305834256946234,49.5462137513706,49.5462137513706,49.5462137513706,49.5462137513706,49.5462137513706,49.5462137513706,49.5462137513706,49.5462137513706,49.5462137513706,49.5462137513706,49.5462137513706,48.87903363519579,48.87903363519579,QI-DMO|100|10|uniform|high|1|9
